nr,label,B,Be,V,S,A,P,R,lv,remark,gluco,ace,phos,cello,belowground,medicago,pH,WSA,whc
1,CT,0,0,0,0,0,0,0,0,CT,2.3744,1.8217,4.6491,0.3272,0.8,1.4,6.91,50.3094457,36.6
2,CT,0,0,0,0,0,0,0,0,CT,4.1383,1.4925,4.693,0.5028,94.6,145.6,7,58.92980517,33.9
3,CT,0,0,0,0,0,0,0,0,CT,3.2803,0.9717,9.9048,0.6445,160.3,208.7,6.9,40.95312909,41.7
4,CT,0,0,0,0,0,0,0,0,CT,3.8071,0.852,3.1327,0.5547,137.9,208.1,6.86,43.88301388,42
5,CT,0,0,0,0,0,0,0,0,CT,2.2427,1.4306,7.7977,0.3572,3.5,3.3,6.9,50.05912884,38.9
6,CT,0,0,0,0,0,0,0,0,CT,1.72,1.1234,10.7149,0.2933,46.4,84.9,6.88,48.00372948,29.5
7,CT,0,0,0,0,0,0,0,0,CT,1.277,0.6944,8.2008,0.3632,131.3,141.9,6.63,44.52122409,40
8,CT,0,0,0,0,0,0,0,0,CT,4.1463,1.5464,7.6341,0.2773,4,2,6.92,49.26068528,36.9
9,CT,0,0,0,0,0,0,0,0,CT,1.301,0.8859,5.5031,0.2434,36.1,67.8,7.05,72.64436644,38
10,CT,0,0,0,0,0,0,0,0,CT,2.2028,0.7263,5.3674,0.7343,68.6,115.6,6.97,77.62101362,29.2
11,S,0,0,0,1,0,0,0,1,S,2.2946,0.7702,4.2341,0.0559,40.6,80.4,6.72,39.89865969,39.9
12,S,0,0,0,1,0,0,0,1,S,2.7416,0.854,4.6212,0.5886,174.7,207.6,6.93,44.25111315,36.1
13,S,0,0,0,1,0,0,0,1,S,1.9315,1.0276,6.2414,0.2654,190.1,142.8,6.81,39.46644489,38.7
14,S,0,0,0,1,0,0,0,1,S,1.5763,1.9135,4.8127,0.3073,117.6,128.8,7,60.16112179,34.2
15,S,0,0,0,1,0,0,0,1,S,4.1383,1.3947,4.6252,0.6146,123,173.8,6.69,82.72973321,38.4
16,V,0,0,1,0,0,0,0,1,V,2.9212,1.1114,4.8526,0.5367,4.3,16.2,7,43.52296784,40.1
17,V,0,0,1,0,0,0,0,1,V,1.6721,1.1413,8.2367,0.3392,96.1,142.3,7.08,93.65917237,38.1
18,V,0,0,1,0,0,0,0,1,V,2.578,0.7203,6.9517,0.2993,7.9,25.9,6.97,34.44819308,33.9
19,V,0,0,1,0,0,0,0,1,V,2.3186,0.9238,5.2238,0.3053,83.6,115.1,6.99,94.94773519,38.9
20,V,0,0,1,0,0,0,0,1,V,1.6122,0.6325,4.5693,0.2434,13.4,34.2,6.97,50.14679776,36.2
21,Be,0,1,0,0,0,0,0,1,Be,2.0991,1.8616,6.1376,0.3552,33.1,56.9,6.77,32.06091772,38.3
22,Be,0,1,0,0,0,0,0,1,Be,2.4942,0.7323,7.5782,0.433,106.4,140.5,6.91,39.22459294,41
23,Be,0,1,0,0,0,0,0,1,Be,1.2491,0.9597,9.398,0.4609,79.2,122.7,7.06,81.47606037,40.4
24,Be,0,1,0,0,0,0,0,1,Be,2.7096,0.9578,7.698,0.2873,92.7,143.8,7.07,69.55200702,34.7
25,Be,0,1,0,0,0,0,0,1,Be,3.1287,1.2291,7.4386,0.3711,40.6,101.1,6.97,50.60352514,36.4
26,A,0,0,0,0,1,0,0,1,A,5.4991,1.6022,9.0229,1.2391,32.2,77.8,6.84,23.29153921,38.1
27,A,0,0,0,0,1,0,0,1,A,4.9524,1.6761,9.402,1.295,11.4,3.6,6.94,58.06098774,39.2
28,A,0,0,0,0,1,0,0,1,A,1.6761,0.7901,9.5576,0.3232,82.6,79.3,7.01,27.61322314,34.7
29,A,0,0,0,0,1,0,0,1,A,4.9763,1.1373,10.4076,1.2211,94.7,153.1,7,73.53082774,38.7
30,A,0,0,0,0,1,0,0,1,A,3.8789,0.9398,9.1067,0.5707,49.3,61.1,6.85,73.41325363,31.6
31,P,0,0,0,0,0,1,0,1,P,3.3521,1.5184,12.7102,0.5088,92,108.3,7.06,91.61266116,39.6
32,P,0,0,0,0,0,1,0,1,P,4.8247,2.5121,10.675,0.8959,81,107.3,6.83,25.20853859,35.9
33,P,0,0,0,0,0,1,0,1,P,5.6508,1.7639,10.248,1.4426,4.3,5.8,6.98,47.65963203,34.9
34,P,0,0,0,0,0,1,0,1,P,3.6435,1.0795,8.7994,0.7343,52.4,85.4,6.87,79.18367347,41.3
35,P,0,0,0,0,0,1,0,1,P,2.582,1.0176,9.6175,0.6644,70.7,69.9,6.94,49.9742848,35.2
